,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,cascade,4423,63992.0,0.40819,0.07484,0.47996,14.46801,7.85784,-0.85032
1,pads_cpp,398,17810.0,0.03559,0.50141,0.64688,44.74874,27.93455,-0.98983
2,dith,47,37.0,0.02849,0.97555,0.67525,0.78723,0.51456,0.10843
3,eigensign,16,27.0,0.01855,0.98507,-0.15736,1.68750,-0.23950,0.93263
4,maxflow_cpp_udsp,403,18313.0,0.04081,0.49344,0.59244,45.44169,27.11912,-0.95678
5,surprise_python,513,21624.0,0.04418,0.48421,0.59396,42.15205,25.38877,-0.86663
6,km_config,558,8518.0,0.20349,0.74636,0.51607,15.26523,8.47088,-0.97553
