,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,cascade,3166,26416.0,0.48054,0.16385,-0.43945,8.34365,-3.49326,-0.67230
1,pads_cpp,149,2814.0,0.02591,0.62751,-0.71927,18.88591,-13.43133,-0.93735
2,dith,62,143.0,0.06070,0.94954,0.61512,2.30645,1.21425,-0.51323
3,eigensign,366,16383.0,0.03448,0.52053,0.60342,44.76230,27.04840,-0.90972
4,maxflow_cpp_udsp,323,6768.0,0.07481,0.57803,-0.52577,20.95356,-11.29525,-0.88721
5,surprise_python,415,7704.0,0.08285,0.60794,-0.51279,18.56386,-9.92833,-0.66591
6,km_config,279,2225.0,0.20126,0.72651,-0.54499,7.97491,-5.12752,-0.90946
