,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,cascade,2111,54742.0,0.07700,0.07412,-0.93229,25.93179,-25.48424,-0.85177
1,pads_cpp,401,23779.0,0.00051,0.39128,-0.98553,59.29925,-58.51484,-0.99744
2,dith,6,6.0,0.00027,0.97798,-0.98636,1.00000,-0.98096,-0.60000
3,eigensign,643,35760.0,0.00090,0.24293,-0.98512,55.61431,-54.84770,-0.99846
4,maxflow_cpp_udsp,402,23839.0,0.00051,0.39038,-0.98545,59.30100,-58.51411,-0.99669
5,surprise_python,439,25509.0,0.00106,0.38025,-0.98414,58.10706,-57.28037,-0.99667
6,km_config,977,37965.0,0.01443,0.22995,-0.96624,38.85875,-38.03086,-0.99600
