Method,OIR,BR-P,BR-N,Avg. Distance,RWC
Maxflow,0.002508011704054619,0.06923076923076923,0.056818181818181816,3.5884240759240758,0.9533151960090879
Flowless,0.0023746333286771898,0.06790123456790123,0.05194805194805195,3.7895422478755814,0.9546913311360584
GIN,0.003094206693007093,0.06060606060606061,0.08306188925081433,3.790543875234429,0.9533741407404529
PADS,0.0015831802925717182,0.046065259117082535,0.03488372093023256,3.7869213944560998,0.9692895311752282
