Method,E-I,BR-P,BR-N,A.D.,RWC,OPG
MaxFlow,1.0,0.0,0.0,5.603225806451613,1,1.5570348385841615
Neg-DSD,1.0,0.0,0.0,5.597014925373134,1,1.5528900546064923
GIN,1.0,0.0,0.0,5.466207153502236,1,1.5019065374744454
PADS,1.0,0.0,0.0,5.409141791044776,1,1.5916681446913463
