Method,E-I,BR-P,BR-N,A.D.,RWC,OPG
MaxFlow,0.994551385453633,0.24516129032258063,0.14,2.790064516129032,0.9261156050138936,1.662241879609419
Neg-DSD,0.9953400320372797,0.2426470588235294,0.12219451371571072,2.7858478802992517,0.9312530832934218,1.6580330760519795
GIN,0.9945602234719007,0.25675675675675674,0.13367609254498714,2.7755506148822344,0.9252849536142238,1.5888176006954868
PADS,0.9955176721287383,0.24806201550387597,0.1172069825436409,2.786966691797638,0.9301609813835667,1.6728923380123244
