Method,E-I,BR-P,BR-N,A.D.,RWC,OPG
MaxFlow,0.9937694704049844,0.01282051282051282,0.01444043321299639,5.536224505538585,0.9431578189713706,1.3088449506681812
Neg-DSD,0.9943382873319179,0.00980392156862745,0.015384615384615385,5.656485671191554,0.949557026526851,1.3240210482003163
GIN,0.9930898321816387,0.017191977077363897,0.014028056112224449,5.796320434565406,0.9313482305212537,1.2812553873688521
PADS,1.0,0.0,0.0,5.6505994005994005,1.0,1.2737547928964221
