Method,E-I,BR-P,BR-N,A.D.,RWC,OPG
MaxFlow,0.9966504966504967,0.04576271186440678,0.035269709543568464,3.607690414234475,0.9670235731619106,0.5353599792510739
Neg-DSD,0.9968853416390889,0.04291044776119403,0.0330188679245283,3.5926719586032103,0.9690549207573473,0.5438173621150422
GIN,0.9954641818271459,0.06307692307692307,0.04693140794223827,3.5818522632602057,0.9579137534755984,0.45434434316513034
PADS,0.9975245822732586,0.03495145631067961,0.0267639902676399,3.610559138260931,0.9756182378553273,0.5412867195811204
