Method,E-I,BR-P,BR-N,A.D.,RWC,OPG
MaxFlow,0.9820262240337868,0.2596401028277635,0.4444444444444444,2.646974813918712,0.8014482159011476,1.3539179131908248
Neg-DSD,0.9815330499780155,0.27319587628865977,0.4503311258278146,2.6382877039666828,0.7976951750239264,1.3552674763316632
GIN,0.9806704640956205,0.2772020725388601,0.4935897435897436,2.6126943005181347,0.7895247889009664,1.241334838964997
PADS,0.9845885431811573,0.23057644110275688,0.42857142857142855,2.6563193698532044,0.8173889258719682,1.3747092985414162
