Method,E-I,BR-P,BR-N,A.D.,RWC,OPG
MaxFlow,0.9886605244507441,0.1145374449339207,0.1144578313253012,3.1548219308953875,0.891652031930337,0.9361342651098801
Neg-DSD,0.9884120948759733,0.11711711711711711,0.1165644171779141,3.144862654065108,0.893061217826377,0.9368395804807075
GIN,0.9889206576125804,0.1141552511415525,0.12195121951219512,3.1131250696068604,0.8950163216747928,0.8672052724831663
PADS,0.9889788186671259,0.1092436974789916,0.12650602409638553,3.1665232358003443,0.8939724757140268,0.9259292442570368
