,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,414,5874.0,0.01533,0.68999,-0.24452,14.18841,-3.56600,-0.99677
1,dith,414,4561.0,0.01693,0.71119,-0.24064,11.01691,-2.80974,-0.99847
2,eigensign,1,0.0,0.00000,1.00000,-0.06306,0.00000,0.00000,1.00000
3,maxflow_cpp_udsp,607,9385.0,0.01149,0.59484,-0.19806,15.46129,-3.34138,-0.99469
4,surprise_python,187,528.0,0.02885,0.96993,-0.24014,2.82353,-0.65726,-0.98683
5,km_config,2129,10868.0,0.02041,0.62350,-0.20887,5.10474,-1.10913,-0.99303
