,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,513,8898.0,0.01206,0.65817,0.29060,17.34503,5.09792,-0.99787
1,dith,658,10526.0,0.01408,0.60131,0.27605,15.99696,4.57167,-0.99934
2,eigensign,794,13457.0,0.00852,0.53777,0.23942,16.94836,4.50432,-0.99918
3,maxflow_cpp_udsp,642,11834.0,0.01235,0.59142,0.25138,18.43302,4.93103,-0.99578
4,surprise_python,166,805.0,0.02686,0.96031,0.31063,4.84940,1.29349,-0.99134
5,km_config,1410,6251.0,0.03556,0.78050,0.29327,4.43333,1.20461,-0.98792
