,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,56,103.0,0.00346,0.69572,-0.50028,1.83929,-0.90988,-1.00000
1,dith,24,35.0,0.01656,0.74453,-0.59112,1.45833,-0.87060,-1.00000
2,eigensign,43,110.0,0.04012,0.82677,0.48964,2.55814,1.32725,-0.94690
3,maxflow_cpp_udsp,178,437.0,0.02246,0.55385,-0.49899,2.45506,-1.26937,-0.99089
4,surprise_python,291,43.0,0.05076,0.97655,-0.48787,0.14777,-0.07080,-0.84946
5,km_config,19,5.0,0.05086,0.82456,-0.52126,0.26316,-0.17112,-1.00000
