,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,143,344.0,0.01045,0.71826,0.77348,2.40559,1.89822,-1.00000
1,dith,77,118.0,0.01850,0.71184,0.69255,1.53247,1.13810,-1.00000
2,eigensign,2,0.0,0.08637,1.00000,-0.38795,0.00000,0.00000,1.00000
3,maxflow_cpp_udsp,77,229.0,0.03817,0.66074,0.44916,2.97403,1.48647,-0.98268
4,surprise_python,350,90.0,0.06363,0.97181,0.58878,0.25714,0.17466,-0.92513
5,km_config,23,2.0,0.04049,0.94203,0.45942,0.08696,0.07024,-1.00000
