Method,OIR,BR-P,BR-N,Avg. Distance,RWC
MaxFlow-U,0.002845821325648415,0.2777777777777778,0.13930348258706468,2.7678448037589827,0.9222877898423515
MaxFlow-W,0.00273174939793681,0.24516129032258063,0.14,2.790064516129032,0.9254800110465842
GIN,0.002477198513680892,0.26717557251908397,0.12082262210796915,2.7666359229969193,0.927788064401983
PADS,0.00234552517774683,0.24812030075187969,0.12219451371571072,2.7848986556165976,0.9306799614603161
