Method,OIR,BR-P,BR-N,Avg. Distance,RWC
MaxFlow-U,0.006006006006006006,0.03896103896103896,0.02247191011235955,4.725594630089012,0.8647013508770311
MaxFlow-W,0.003125,0.01282051282051282,0.01444043321299639,5.536224505538585,0.9438251653133539
GIN,0.013312624805857555,0.057919621749408984,0.03162333099086437,5.996634985189283,0.8552741627959535
PADS,0.0012642225031605564,0.00684931506849315,0.005494505494505495,5.336030407948217,0.9776495103415532
