Method,OIR,BR-P,BR-N,Avg. Distance,RWC
MaxFlow-U,0.006337919307466378,0.12260536398467432,0.15,3.1668369518944233,0.8848124892238087
MaxFlow-W,0.005702066999287242,0.1145374449339207,0.1144578313253012,3.1548219308953875,0.8927207658164967
GIN,0.005736491487786825,0.11320754716981132,0.13125,3.1095224056603774,0.8945852108417226
PADS,0.005837912087912088,0.11203319502074689,0.13333333333333333,3.1614736577392177,0.8897553991158194
