Method,OIR,BR-P,BR-N,Avg. Distance,RWC
MaxFlow-U,0.0,0.0,0.0,5.573279352226721,1.0
MaxFlow-W,0.0,0.0,0.0,5.603225806451613,1.0
GIN,0.0029505220154334997,0.011425732737208148,0.013280212483399735,6.115220851978738,0.9569958360824212
PADS,0.0,0.0,0.0,5.389273146462808,1.0
