Method,OIR,BR-P,BR-N,Avg. Distance,RWC
MaxFlow-U,0.0023563787171874263,0.06697819314641744,0.051070840197693576,3.588223067329751,0.9559878221725393
MaxFlow-W,0.0016775611731358825,0.04576271186440678,0.035269709543568464,3.607690414234475,0.9676933150833487
GIN,0.0029919269557143226,0.06927465362673187,0.06408094435075885,3.713051341994555,0.945116797119963
PADS,0.0011434721194592049,0.03275529865125241,0.024330900243309004,3.6064488605731593,0.9770394031935936
