Method,OIR,BR-P,BR-N,Avg. Distance,RWC
MaxFlow-U,0.032255492205254976,0.6327543424317618,0.6749226006191951,2.4809055919612195,0.6026523613394208
MaxFlow-W,0.009068384539147671,0.2596401028277635,0.4444444444444444,2.646974813918712,0.8022502527559009
GIN,0.007532956685499058,0.22885572139303484,0.47297297297297297,2.6367654968401237,0.8161130812618445
PADS,0.008766774414732099,0.25255102040816324,0.44666666666666666,2.6456972789115647,0.8067483146842327
