,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,85,222.0,0.00908,0.74972,0.73637,2.61176,1.96825,-1.00000
1,dith,22,53.0,0.01906,0.80334,0.57696,2.40909,1.48951,-1.00000
2,eigensign,1,0.0,0.00000,1.00000,0.08193,0.00000,0.00000,1.00000
3,maxflow_cpp_udsp,19,64.0,0.01633,0.67430,0.70288,3.36842,2.45416,-1.00000
4,surprise_python,283,84.0,0.03716,0.96925,0.68839,0.29682,0.21363,-0.97647
5,km_config,16,0.0,0.01049,1.00000,0.56082,0.00000,0.00000,0.00000
