,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,67,388.0,0.00699,0.57198,-0.85001,5.79104,-5.01872,-1.00000
1,dith,54,101.0,0.00746,0.81434,-0.85701,1.87037,-1.63879,-1.00000
2,eigensign,326,1063.0,0.01592,0.44736,-0.75642,3.26074,-2.73898,-0.99906
3,maxflow_cpp_udsp,65,377.0,0.00763,0.57712,-0.84687,5.80000,-5.01378,-1.00000
4,surprise_python,479,251.0,0.05280,0.94382,-0.73127,0.52401,-0.45430,-0.99206
5,km_config,45,112.0,0.00162,0.86009,-0.92790,2.48889,-2.29617,-1.00000
