,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,maxflow_cpp_wdsp,227,3491.0,0.00808,0.61623,0.46437,15.37885,7.17291,-0.99088
1,neg_dsd,222,3409.0,0.00807,0.62097,0.46545,15.35586,7.17110,-0.99066
2,node2vec_gin,232,3603.0,0.01069,0.61424,0.44835,15.53017,7.05932,-0.57302
3,pads_cpp,241,3716.0,0.00753,0.60439,0.46218,15.41909,7.16571,-0.99089
