,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,241,3716.0,0.00753,0.60439,0.46218,15.41909,7.16571,-0.99143
1,dith,33,32.0,0.53430,0.84834,0.10379,0.96970,0.06463,-1.00000
2,eigensign,1,0.0,0.00000,1.00000,-0.00066,0.00000,0.00000,1.00000
3,maxflow_cpp_udsp,261,4100.0,0.01089,0.58891,0.44329,15.70881,7.08426,-0.99005
4,surprise_python,742,9866.0,0.01442,0.39400,0.42358,13.29650,5.85176,-0.97330
5,km_config,866,1602.0,0.07327,0.77355,0.33944,1.84988,0.74949,-0.96143
