,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,pads_cpp,164,2100.0,0.02454,0.65577,-0.46484,12.80488,-5.84362,-0.98488
1,dith,6,7.0,0.00001,0.98282,-0.98170,1.16667,-1.14483,-1.00000
2,eigensign,287,4442.0,0.01044,0.57513,0.43929,15.47735,6.95021,-0.99663
3,maxflow_cpp_udsp,180,2369.0,0.02693,0.63226,-0.42027,13.16111,-5.61122,-0.98284
4,surprise_python,586,5562.0,0.04421,0.52087,-0.46900,9.49147,-4.12245,-0.95312
5,km_config,1361,5091.0,0.09316,0.49776,-0.47842,3.74063,-1.58136,-0.98770
