,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,cascade,2111,54533.5,0.07700,0.07438,-0.93229,25.83302,-25.38824,-0.85124
1,maxflow_cpp_wdsp,400,23635.0,0.00051,0.39302,-0.98555,59.08750,-58.30672,-0.99679
2,neg_dsd,401,23694.5,0.00051,0.39213,-0.98553,59.08853,-58.30697,-0.99730
3,node2vec_gin,389,22963.5,0.00052,0.40292,-0.98562,59.03213,-58.25443,-0.99678
4,pads_cpp,401,23694.5,0.00051,0.39213,-0.98553,59.08853,-58.30697,-0.99743
