,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,cascade,3166,26337.0,0.48054,0.16426,-0.43945,8.31870,-3.48162,-0.67147
1,maxflow_cpp_wdsp,153,2906.5,0.02959,0.62319,-0.70843,18.99673,-13.35989,-0.93896
2,neg_dsd,151,2861.0,0.02853,0.62921,-0.71071,18.94702,-13.35828,-0.93605
3,pads_cpp,151,2861.0,0.02853,0.62921,-0.71071,18.94702,-13.35828,-0.93605
