,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,maxflow_cpp_wdsp,590,10328.0,0.01633,0.62480,0.29125,17.50508,5.10224,-0.99720
1,neg_dsd,536,9337.0,0.01629,0.64957,0.29372,17.41978,5.09884,-0.99743
2,node2vec_gin,650,11785.0,0.01147,0.59119,0.25028,18.13077,4.87042,-0.99610
3,pads_cpp,515,8702.5,0.01150,0.66343,0.29402,16.89806,5.01305,-0.99793
