,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,cascade,4423,63853.5,0.40819,0.07499,0.47996,14.43669,7.84296,-0.85002
1,maxflow_cpp_wdsp,389,17207.0,0.03291,0.50850,0.64549,44.23393,27.76936,-0.98942
2,neg_dsd,388,17350.0,0.03583,0.50857,0.64456,44.71649,27.85064,-0.98917
3,node2vec_gin,386,18115.0,0.05712,0.49825,0.57461,46.93005,26.82783,-0.98864
4,pads_cpp,399,17803.5,0.03550,0.50131,0.64689,44.62030,27.84931,-0.99111
