,method,num_nodes,num_edges,purity(var),conductance,avg_node_polarity,unweighted_density,weighted_density,EI-Index
0,cascade,3166,26337.0,0.48054,0.16426,-0.43945,8.31870,-3.48162,-0.67147
1,maxflow_cpp_wdsp,153,2906.5,0.02959,0.62319,-0.70843,18.99673,-13.35989,-0.93896
2,neg_dsd,151,2861.0,0.02853,0.62921,-0.71071,18.94702,-13.35828,-0.93605
3,node2vec_gin,156,3029.5,0.03893,0.61698,-0.66673,19.41987,-13.11551,-0.93393
4,pads_cpp,140,2602.5,0.02433,0.63451,-0.72782,18.58929,-13.33782,-0.94072
